city,population,elavation_in_ft,pop_rank,height_rank,recognition_rate
Daegu,2200000,148,13,101,0.28
Cagliari,476300,135,20,105,0.09
Bangkok,10500000,39,3,130,0.78
Livorno,157000,52,24,126,0.06
San Antonio,1400000,663,14,54,0.89
Hanoi,4700000,33,11,132,0.41
Barcelona,5600000,154,9,96,0.92
Messina,229600,95,21,114,0.04
Sao Paolo,22000000,2523,1,17,0.62
Riyadh,7200000,2008,7,20,0.1
Milan,3100000,417,12,70,0.79
Seoul,10000000,125,4,108,0.91
Bilbao,349600,66,18,122,0.07
Padua,212400,59,22,124,0.08
Ankara,5100000,2867,10,16,0.08
Konya,1300000,3379,16,15,0.05
Prato,194900,1614,23,25,0.05
Antalya,1300001,200,15,86,0.08
Manila,13900000,43,2,129,0.55
Tehran,9100000,3865,6,11,0.24
Corvallis,58300,243,25,77,0.09
Chengdu,9100001,1637,5,24,0.24
Kansas City,508100,951,17,37,0.94
Baghdad,7100000,135,8,105,0.49
Salerno,419500,151,19,97,0.1
