city,population,elavation_in_ft,pop_rank,height_rank,recognition_rate
Kano,4000000,1588,12,26,0.06
Medan,2300000,85,15,116,0.06
Lagos,14400000,36,3,131,0.5
Charlotte,874900,892,19,40,0.72
Khartoum,5800000,1250,9,31,0.03
Denver,717600,5367,21,4,0.9
Monaco,38300,203,25,85,0.68
Zaragoza,730800,702,20,51,0.11
Singapore,5900000,75,8,119,0.91
Yamoussoukro,263400,702,23,51,0.02
Bangkok,10500000,39,6,130,0.78
Kananga,1500000,2110,16,19,0.03
Shanghai,27100000,39,1,130,0.88
Kanpur,3100000,449,13,68,0.15
Jeddah,5700000,69,10,121,0.12
Shenzhen,12400000,13,5,139,0.2
Izmir,3000000,400,14,72,0.02
Lahore,12600000,709,4,50,0.15
Riyadh,7200000,2008,7,20,0.1
Tuscaloosa,105600,226,24,82,0.18
Nice,942200,59,17,124,0.31
Southampton,927900,62,18,123,0.37
Dhaka,21000000,236,2,79,0.07
Yangon,5300000,98,11,113,0.07
Oakland,441000,79,22,118,0.93
